tripid,starttime,stoptime,bikeid,duration,from,to,identifies,birthyear
Tr10426561,6/30/2016 23:35,7/1/2016 0:02,B5229,1620,329,307,Male,1968
Tr10426434,6/30/2016 23:09,6/30/2016 23:35,B5218,1547,228,253,Female,1988
Tr10426287,6/30/2016 22:48,6/30/2016 23:13,B4199,1521,145,35,,
Tr10426168,6/30/2016 22:31,6/30/2016 22:42,B2659,668,113,69,Male,1986
Tr10426027,6/30/2016 22:18,6/30/2016 22:21,B3887,157,254,240,Female,1993
Tr10425890,6/30/2016 22:04,6/30/2016 22:14,B5296,608,144,289,Male,1990
Tr10425756,6/30/2016 21:52,6/30/2016 22:00,B2915,495,286,212,Male,1986
Tr10425649,6/30/2016 21:39,6/30/2016 22:02,B4196,1334,117,231,Male,1977
Tr10425531,6/30/2016 21:30,6/30/2016 21:50,B4777,1254,289,213,Male,1989
Tr10425394,6/30/2016 21:18,6/30/2016 21:31,B1296,789,289,16,Female,1989
Tr10425279,6/30/2016 21:09,6/30/2016 21:24,B3307,870,220,324,Female,1986
Tr10425133,6/30/2016 20:59,6/30/2016 21:18,B4681,1100,120,168,Male,1981
Tr10425010,6/30/2016 20:50,6/30/2016 20:56,B1312,366,107,71,Male,1970
Tr10424887,6/30/2016 20:42,6/30/2016 20:48,B3032,370,24,90,Male,1991
Tr10424769,6/30/2016 20:34,6/30/2016 20:53,B2606,1116,249,154,Male,1992
Tr10424639,6/30/2016 20:25,6/30/2016 20:39,B5334,840,36,197,,
Tr10424505,6/30/2016 20:17,6/30/2016 20:29,B5158,729,140,174,Male,1971
Tr10424383,6/30/2016 20:10,6/30/2016 20:25,B2977,951,112,27,Female,1981
Tr10424253,6/30/2016 20:01,6/30/2016 20:07,B5030,332,14,205,Male,1992
Tr10424133,6/30/2016 19:55,6/30/2016 19:57,B2093,127,66,77,Male,1975
Tr10424021,6/30/2016 19:50,6/30/2016 20:16,B4844,1560,268,197,Female,1988
Tr10423914,6/30/2016 19:43,6/30/2016 19:49,B5309,352,49,75,Male,1960
Tr10423807,6/30/2016 19:37,6/30/2016 20:00,B3087,1385,268,268,,
Tr10423693,6/30/2016 19:30,6/30/2016 19:36,B222,336,344,238,Female,1986
Tr10423581,6/30/2016 19:25,6/30/2016 19:40,B2814,882,68,273,Male,1975
Tr10423461,6/30/2016 19:20,6/30/2016 19:31,B2559,683,461,454,Female,1994
Tr10423339,6/30/2016 19:15,6/30/2016 19:36,B3911,1263,359,504,Male,1989
Tr10423203,6/30/2016 19:10,6/30/2016 19:32,B3680,1323,258,210,Female,1988
Tr10423074,6/30/2016 19:05,6/30/2016 19:17,B454,749,302,268,Male,1992
Tr10422968,6/30/2016 19:00,6/30/2016 19:18,B5587,1097,268,35,,
Tr10422850,6/30/2016 18:56,6/30/2016 19:29,B3035,1993,85,225,,
Tr10422735,6/30/2016 18:51,6/30/2016 19:11,B3776,1226,5,184,Female,1992
Tr10422625,6/30/2016 18:47,6/30/2016 18:52,B2236,267,91,198,Female,1987
Tr10422511,6/30/2016 18:43,6/30/2016 19:04,B2290,1278,312,154,Female,1988
Tr10422375,6/30/2016 18:38,6/30/2016 18:47,B1053,487,198,108,Male,1986
Tr10422254,6/30/2016 18:34,6/30/2016 18:41,B2179,417,90,7,Male,1983
Tr10422145,6/30/2016 18:29,6/30/2016 18:37,B238,472,133,211,Male,1985
Tr10422037,6/30/2016 18:26,6/30/2016 18:40,B3423,850,273,90,Male,1962
Tr10421915,6/30/2016 18:22,6/30/2016 18:40,B3150,1100,94,6,Female,1987
Tr10421792,6/30/2016 18:19,6/30/2016 18:32,B2106,815,340,307,Male,1966
Tr10421678,6/30/2016 18:15,6/30/2016 18:32,B215,1026,213,56,Female,1981
Tr10421545,6/30/2016 18:11,6/30/2016 18:21,B432,595,294,464,Male,1973
Tr10421430,6/30/2016 18:08,6/30/2016 18:27,B5857,1128,182,310,Male,1965
Tr10421321,6/30/2016 18:05,6/30/2016 18:23,B5821,1089,177,249,Male,1987
Tr10421217,6/30/2016 18:01,6/30/2016 18:06,B4,271,359,20,Male,1982
Tr10421109,6/30/2016 17:58,6/30/2016 18:14,B1696,984,319,324,Female,1986
Tr10420995,6/30/2016 17:55,6/30/2016 18:12,B4299,1004,287,24,Male,1986
Tr10420873,6/30/2016 17:52,6/30/2016 18:23,B3844,1867,6,76,,
Tr10420733,6/30/2016 17:49,6/30/2016 17:53,B4234,264,457,458,Female,1984
Tr10420612,6/30/2016 17:46,6/30/2016 17:52,B4538,360,497,490,Male,1989
Tr10420495,6/30/2016 17:42,6/30/2016 17:51,B4139,552,49,134,Male,1975
Tr10420386,6/30/2016 17:39,6/30/2016 17:44,B4641,297,110,47,Female,1969
Tr10420266,6/30/2016 17:36,6/30/2016 17:39,B4123,209,240,312,Male,1984
Tr10420154,6/30/2016 17:33,6/30/2016 17:49,B2903,945,112,17,Male,1971
Tr10420042,6/30/2016 17:30,6/30/2016 17:53,B1904,1411,192,153,Male,1984
Tr10419936,6/30/2016 17:27,6/30/2016 17:41,B4132,810,213,511,Male,1989
Tr10419825,6/30/2016 17:25,6/30/2016 17:43,B5356,1085,77,225,Male,1992
Tr10419713,6/30/2016 17:21,6/30/2016 17:29,B1961,454,154,13,Female,1988
Tr10419601,6/30/2016 17:19,6/30/2016 19:04,B1555,6287,161,90,,
Tr10419484,6/30/2016 17:16,6/30/2016 17:26,B3246,585,43,96,Male,1986
Tr10419372,6/30/2016 17:13,6/30/2016 17:33,B3988,1198,212,273,Male,1972
Tr10419260,6/30/2016 17:10,6/30/2016 17:17,B1959,380,166,13,Male,1993
Tr10419149,6/30/2016 17:08,6/30/2016 17:16,B2750,459,49,52,Male,1987
Tr10419039,6/30/2016 17:06,6/30/2016 17:14,B1752,458,39,174,Female,1989
Tr10418933,6/30/2016 17:04,6/30/2016 17:20,B4266,962,210,285,Female,1990
Tr10418829,6/30/2016 17:01,6/30/2016 17:17,B754,945,18,186,Female,1972
Tr10418720,6/30/2016 16:58,6/30/2016 17:11,B2570,793,176,340,Female,1982
Tr10418613,6/30/2016 16:56,6/30/2016 17:02,B383,361,89,59,Male,1977
Tr10418503,6/30/2016 16:53,6/30/2016 17:03,B1239,586,85,24,Male,1982
Tr10418392,6/30/2016 16:50,6/30/2016 17:19,B3714,1711,214,254,Male,1960
Tr10418275,6/30/2016 16:47,6/30/2016 16:54,B4713,432,176,126,Male,1954
Tr10418159,6/30/2016 16:43,6/30/2016 17:04,B5127,1241,208,103,Male,1997
Tr10418032,6/30/2016 16:39,6/30/2016 16:47,B4066,472,43,321,Male,1974
Tr10417923,6/30/2016 16:35,6/30/2016 16:49,B4960,815,287,59,Male,1976
Tr10417812,6/30/2016 16:32,6/30/2016 16:44,B5077,711,326,294,Male,1987
Tr10417684,6/30/2016 16:27,6/30/2016 16:51,B2524,1454,425,150,Female,1984
Tr10417565,6/30/2016 16:22,6/30/2016 16:58,B2952,2147,27,85,,
Tr10417451,6/30/2016 16:19,6/30/2016 16:22,B1993,220,149,148,Male,1991
Tr10417342,6/30/2016 16:14,6/30/2016 16:23,B1871,544,49,133,Male,1984
Tr10417232,6/30/2016 16:09,6/30/2016 16:14,B324,276,109,75,Male,1978
Tr10417122,6/30/2016 16:04,6/30/2016 16:09,B1993,297,148,149,Female,1988
Tr10417007,6/30/2016 15:59,6/30/2016 16:46,B162,2828,44,43,,
Tr10416887,6/30/2016 15:54,6/30/2016 16:18,B3220,1396,35,97,,
Tr10416775,6/30/2016 15:50,6/30/2016 15:54,B311,245,111,133,Male,1985
Tr10416670,6/30/2016 15:45,6/30/2016 15:50,B2802,337,326,463,Female,1991
Tr10416549,6/30/2016 15:39,6/30/2016 16:01,B3590,1329,287,279,Male,1984
Tr10416423,6/30/2016 15:33,6/30/2016 16:02,B2676,1717,254,85,Male,1978
Tr10416301,6/30/2016 15:26,6/30/2016 15:42,B2536,923,35,35,,
Tr10416169,6/30/2016 15:20,6/30/2016 15:45,B4683,1533,255,97,,
Tr10416027,6/30/2016 15:13,7/1/2016 9:15,B4268,64937,290,290,,
Tr10415891,6/30/2016 15:06,6/30/2016 15:14,B456,524,40,233,Female,1985
Tr10415773,6/30/2016 14:59,6/30/2016 15:14,B3858,877,211,268,Female,1987
Tr10415643,6/30/2016 14:52,6/30/2016 15:00,B138,512,465,245,Male,1978
Tr10415502,6/30/2016 14:43,6/30/2016 14:59,B829,937,434,108,Male,1990
Tr10415378,6/30/2016 14:36,6/30/2016 14:48,B5361,763,346,21,Female,1974
Tr10415258,6/30/2016 14:28,6/30/2016 14:47,B2968,1177,45,3,,
Tr10415144,6/30/2016 14:21,6/30/2016 14:41,B1160,1202,255,33,,
Tr10415032,6/30/2016 14:12,6/30/2016 14:35,B3635,1399,265,150,,
Tr10414916,6/30/2016 14:04,6/30/2016 14:57,B4209,3174,125,35,,
Tr10414802,6/30/2016 13:57,6/30/2016 14:11,B315,824,332,177,,
Tr10414687,6/30/2016 13:51,6/30/2016 13:55,B720,198,128,350,Female,1983
Tr10414573,6/30/2016 13:44,6/30/2016 13:53,B4735,584,74,66,Male,1989
Tr10414447,6/30/2016 13:37,6/30/2016 14:00,B3130,1330,161,268,,
Tr10414305,6/30/2016 13:29,6/30/2016 13:53,B5896,1477,329,181,Male,1980
Tr10414165,6/30/2016 13:21,6/30/2016 13:29,B2518,464,164,36,Male,1980
Tr10414040,6/30/2016 13:14,6/30/2016 13:18,B5166,241,176,180,Male,1962
Tr10413919,6/30/2016 13:06,6/30/2016 13:12,B867,340,320,108,Male,1995
Tr10413806,6/30/2016 12:57,6/30/2016 13:10,B5868,734,315,60,Male,1964
Tr10413688,6/30/2016 12:50,6/30/2016 12:55,B1791,314,126,176,Male,1988
Tr10413566,6/30/2016 12:42,6/30/2016 12:50,B107,484,326,165,Male,1964
Tr10413453,6/30/2016 12:35,6/30/2016 13:04,B3425,1738,26,268,,
Tr10413341,6/30/2016 12:27,6/30/2016 12:42,B4286,884,223,158,Male,1969
Tr10413224,6/30/2016 12:21,6/30/2016 12:25,B5676,255,344,311,Male,1986
Tr10413095,6/30/2016 12:14,6/30/2016 12:18,B628,235,62,273,Male,1969
Tr10412947,6/30/2016 12:07,6/30/2016 12:35,B4991,1692,68,210,Male,1988
Tr10412829,6/30/2016 11:59,6/30/2016 12:12,B1339,763,44,84,Female,1961
Tr10412679,6/30/2016 11:50,6/30/2016 11:52,B5304,120,419,417,Male,1988
Tr10412562,6/30/2016 11:42,6/30/2016 11:50,B357,439,133,194,Male,1971
Tr10412446,6/30/2016 11:35,6/30/2016 11:51,B2562,1005,313,85,Male,1983
Tr10412319,6/30/2016 11:25,6/30/2016 11:40,B1922,890,217,383,Male,1985
Tr10412179,6/30/2016 11:16,6/30/2016 11:37,B3437,1263,35,85,,
Tr10412058,6/30/2016 11:07,6/30/2016 11:12,B3314,327,284,90,,
Tr10411929,6/30/2016 10:57,6/30/2016 11:02,B3716,296,220,13,Male,1966
Tr10411804,6/30/2016 10:44,6/30/2016 11:02,B3314,1055,3,284,,
Tr10411678,6/30/2016 10:34,6/30/2016 10:45,B2710,635,340,166,Male,1966
Tr10411555,6/30/2016 10:23,6/30/2016 10:45,B4999,1309,85,3,,
Tr10411394,6/30/2016 10:13,6/30/2016 10:33,B1170,1215,85,35,,
